nome; fotoUrl;   precoUnitario  ; linkSite; descricaoCurta
PLATAFORMA TECA EDUCACIONAL;https://www.tecaeducar.com.br/themes/site/assets/img/logo.webp; R$ 1.500,00 ;Início | Teca Educacional;Curso de Sensibilização e Atendimento PCD
IMPRESSORA DE RELEVOS E BRAILLE TECA-FUSER DUAL PCT INICIAÇÃO;https://innovative-friendship-159ff40007.media.strapiapp.com/Tecafuser_bcaf26479f.png; R$ 28.000,00 ;https://www.tecassistiva.com.br/produtos/teca-fuser/;Máquina fusora de relevos táteis
PAPEL ENCAPSULADO PARA IMPRESSORA DE RELEVOS TÁTEIS ZYTEX A4 - 100 FLS;https://innovative-friendship-159ff40007.media.strapiapp.com/imagem_produto_papel_fusora_teca_fuser_a4_b64fd6b929.jpg; R$ 2.700,00 ;https://www.tecassistiva.com.br/produtos/papel-encapsulado-a4/;Papel para máquina de relevos táteis - tamanho A4
PAPEL ENCAPSULADO PARA IMPRESSORA DE RELEVOS TÁTEIS ZYTEX A3 - 100 FLS.;https://innovative-friendship-159ff40007.media.strapiapp.com/papel_fusora_teca_fuser_a3_74cb9ad695.jpg; R$ 4.300,00 ;https://www.tecassistiva.com.br/produtos/papel-encapsulado-a3/;Papel para máquina de relevos táteis - tamanho A3
IMPRESSORA BRAILLE EVEREST-D;https://innovative-friendship-159ff40007.media.strapiapp.com/everest1_ea0df2e6d1.jpg; R$ 55.000,00 ;https://tecassistiva.com.br/produtos/everest/;Impressora braille de folha solta
ABAFADOR DE RUÍDOS PARA IMPRESSORA BRAILLE EVEREST-D ;https://innovative-friendship-159ff40007.media.strapiapp.com/Abafador_Impressoras_Index_a0f46412b8.png; R$ 15.500,00 ;https://tecassistiva.com.br/produtos/abafador-index/;Abafador para impressora Braille
MOUTBATTEN TUTOR;https://innovative-friendship-159ff40007.media.strapiapp.com/Tutor_0b6cb2b05a.jpg; R$ 47.020,00 ;https://tecassistiva.com.br/produtos/tutor/;Maquina de escrever Braille eletrônica para produção de textos
DIGITALIZADOR E LEITOR AUTÔNOMO CLEARREADER;https://innovative-friendship-159ff40007.media.strapiapp.com/Clear_Reader_com_tela_de_lado_218890231c.png; R$ 28.000,00 ;https://tecassistiva.com.br/produtos/clearreader/;Digitalizador, leitor e ampliador autônomo
LINHA BRAILLE FOCUS 40 BLUE;https://innovative-friendship-159ff40007.media.strapiapp.com/Focus_40_principal_af080f049f.jpg; R$ 35.000,00 ;https://tecassistiva.com.br/produtos/focus-40-blue/;Linha braille de 40 células
LEIA FÁCIL;https://innovative-friendship-159ff40007.media.strapiapp.com/leia_facil_a885e25e01.jpg; R$ 4.300,00 ;https://tecassistiva.com.br/produtos/leiafacil/;Scanner Com Voz Leitor E Ampliador
LEIA FÁCIL IA;https://innovative-friendship-159ff40007.media.strapiapp.com/leia_facil_a885e25e01.jpg; R$ 4.900,00 ;https://tecassistiva.com.br/produtos/leiafacil/;Scanner Com Voz Leitor E Ampliador .IA
JAWS;https://innovative-friendship-159ff40007.media.strapiapp.com/SW_01_FS_0001_jaws_capa_43cb5d9e84.jpg; R$ 9.000,00 ;https://tecassistiva.com.br/produtos/jaws/;Software Leitor de telas e ampliador de telas
"AMPLIADOR ELETRÔNICO CLEARVIEW C24 FULL HD 24""";https://innovative-friendship-159ff40007.media.strapiapp.com/Clear_View_255c3b3291.jpg; R$ 33.000,00 ;https://tecassistiva.com.br/produtos/clearview-24/;"Ampliador de mesa com mesa XY - tela 24"""
TRAVELLER;https://innovative-friendship-159ff40007.media.strapiapp.com/traveller_4c278bee63.jpg; R$ 31.650,00 ;https://tecassistiva.com.br/produtos/traveller-hd/;"Ampliador eletrônico portátil com tela de 13"""
LUPA ELETRÔNICO PORTÁTIL RUBY 10 COM VOZ;https://innovative-friendship-159ff40007.media.strapiapp.com/ruby10_3e7c21c2ee.jpg; R$ 25.000,00 ;https://tecassistiva.com.br/produtos/ruby-10/;"Lupa eletrônica com voz e tecnologia OCR, tela de 10"""
TECLADO COM COLMEIA;https://innovative-friendship-159ff40007.media.strapiapp.com/foto_teclado_ampliado_tecassistiva_7dd42d87d4.jpg; R$ 383,00 ;https://tecassistiva.com.br/produtos/teclado-colmeia/;Teclado com colméia
BIG TRACK2;https://innovative-friendship-159ff40007.media.strapiapp.com/4ab7d59c_22fd_4afb_9791_289a01681566_12000006_66099_4d90c0d225.jpg; R$ 1.170,00 ;https://tecassistiva.com.br/produtos/big-track/;Mouse TrackBall
BIG RED;https://innovative-friendship-159ff40007.media.strapiapp.com/foto_acionador_big_red_a42c96d437.jpg; R$ 780,00 ;https://tecassistiva.com.br/produtos/big-red/;Acionador BIG
TECLADO AMPLIADO;https://innovative-friendship-159ff40007.media.strapiapp.com/foto_teclado_ampliado_tecassistiva_7dd42d87d4.jpg; R$ 345,00 ;https://tecassistiva.com.br/produtos/teclado-ampliado/;Teclado Ampliado com contraste e Braille
LUPA ELETRÔNICO PORTÁTIL RUBY 7;https://innovative-friendship-159ff40007.media.strapiapp.com/Ruby_7_24e6a78523.png; R$ 15.000,00 ;https://tecassistiva.com.br/produtos/ruby-7-hd/;"Lupa eletrônica de mão - tela de 7"""
BRINCA BRAILLE;https://innovative-friendship-159ff40007.media.strapiapp.com/Brinca_Braille_5a4d0fc6a0.jpg; R$ 28.180,00 ;https://tecassistiva.com.br/produtos/brinca-braille/;Educador braille - Alfabetização
KIT MULTIPLANO INLCUSIVO;https://innovative-friendship-159ff40007.media.strapiapp.com/multiplano_desenhos_formas_99185d203f.jpg; R$ 2.500,00 ;https://tecassistiva.com.br/produtos/multiplano/;Matemática concreta e acessível
KIT MULTIPLANO;https://innovative-friendship-159ff40007.media.strapiapp.com/multiplano_desenhos_formas_99185d203f.jpg; R$ 2.000,00 ;https://tecassistiva.com.br/produtos/multiplano/;Multiplano simples
KIT MULTIPLANO INLCUSIVO;https://innovative-friendship-159ff40007.media.strapiapp.com/multiplano_desenhos_formas_99185d203f.jpg; R$ 2.500,00 ;https://tecassistiva.com.br/produtos/multiplano/;Multiplano Inclusivo
LIBER;https://innovative-friendship-159ff40007.media.strapiapp.com/IMG_3073_9263c61138.jpg; R$ 58.100,00 ;https://tecassistiva.com.br/produtos/liber/;Computador inteligente adaptado 
