produto;fabricante;valor;categoria
ABAFADOR DE RUÍDOS PARA IMPRESSORA INDEX;TECASSISTIVA Tecnol. Assis.;15985;Acessório
ACIONADOR DE PRESSÃO BIG RED;ABLENET, INC.;897;Acionador de Pressão
"AMPLIADOR ELETRÔNICO CLEARVIEW C24 FULL HD 24""";FREEDOM SCIENTIFIC BLV;37271,5;Ampliador de Mesa
AMPLIADOR ELETRÔNICO MANUAL RUBY 7;FREEDOM SCIENTIFIC BLV;16307;Lupa Eletrônica
AMPLIADOR TRAVELLER HD;FREEDOM SCIENTIFIC BLV;36397,5;Lupa Eletrônica
BRINCA BRAILLE - TAPTILO;TECASSISTIVA Tecnol. Assis.;32407;Alfabetizador Braille
DIGITALIZADOR  LEITOR E AMPLIADOR AUTONOMO RUBY 10;FREEDOM SCIENTIFIC BLV;27956,5;Digitalizador e Leitor Autônomo
DIGITALIZADOR E LEITOR AUTÔNOMO CLEArREADER;OPTELEC NEDERLAND B. V.;31625;Digitalizador e Leitor Autônomo
DIGITALIZADOR E LEITOR LEIA FÁCIL;TECASSISTIVA Tecnol. Assis.;6799,9978;Digitalizador e Leitor
DIGITALIZADOR E LEITOR LEIA FÁCIL .IA;TECASSISTIVA Tecnol. Assis.;11899,9991;Digitalizador e Leitor
IMPRESSORA BRAILLE - BRAILLE BOX;INDEX BRAILLE AB;243466,5;Impressora Braille
IMPRESSORA BRAILLE - FANFOLD;INDEX BRAILLE AB;258692,5;Impressora Braille
IMPRESSORA BRAILLE BASIC-D + ABAFADOR DE RUÍDOS ;INDEX BRAILLE AB;57300,0035;Impressora Braille
IMPRESSORA BRAILLE DE CHAPA PUMA 7 - INCLUI TRANSPORTE+ARRANQUE E REVISÃO AOS 3M;BRAILLETEC;4696600;Impressora Braille
IMPRESSORA BRAILLE EVEREST-D + ABAFADOR DE RUÍDOS;INDEX BRAILLE AB;64500,00124;Impressora Braille
IMPRESSORA BRAILLE ROTATIVA MARBURG - INCLUI TRANSPORTE+ARRANQUE E REVISÃO AOS 3M;BRAILLETEC;3680000;Impressora Braille
IMPRESSORA DE RELEVOS E BRAILLE TECA-FUSER DUAL PCT INICIAÇÃO;AMERICAN THERMOFORM ;28635;Impressora Térmica de Relevos
IMPRESSORA E MÁQUINA DE ESCREVER BRAILLE MOUNTBATTEN  TUTOR;HARPO ;54073;Máquina de Escrever Braille Eletrônica
KIT MULTIPLANO;MULTIPLANO - PRODUTOS EDUC.;2817,5;Ferramenta Pedagógica
KIT MULTIPLANO BRAILLE;MULTIPLANO - PRODUTOS EDUC.;2294,25;Ferramenta Pedagógica
KIT MULTIPLANO SALA DE AULA (15 SIMPLES + 6 BRAILLE);MULTIPLANO - PRODUTOS EDUC.;50485;Ferramenta Pedagógica
LIBER BRAILLE;TECASSISTIVA Tecnol. Assis.;66815;Computador Inclusivo
LIBER BRAILLE MAIS;TECASSISTIVA Tecnol. Assis.;53935;Computador Inclusivo
LINHA BRAILLE ELBRAILLE 40;ELITA GROUP LLC;69310,5;Computador Inclusivo
LINHA BRAILLE FOCUS 40 BLUE;FREEDOM SCIENTIFIC BLV;39606;Linha Braille
LINHA BRAILLE FOCUS 80 BLUE;FREEDOM SCIENTIFIC BLV;94070;Linha Braille
MÁQUINA DE ESCREVER BRAILLE MECANICA PERKINS CLASSIC BLUE;PERKINS SOLUTIONS;16079,3;Máquina de Escrever Braille Mecânica
MÁQUINA DE ESCREVER BRAILLE MECANICA PERKINS CLASSIC BLUE;TECASSISTIVA Tecnol. Assis.;13685;Máquina de Escrever Braille Mecânica
PAPEL ENCAPSULADO A3 - 100 FLS.;AMERICAN THERMOFORM ;4715;Insumo
PAPEL ENCAPSULADO A4 - 100 FLS.;AMERICAN THERMOFORM ;2535,75;Insumo
PUNÇÃO - 20 UN GRÁTIS;TECASSISTIVA Tecnol. Assis.;0;Escrita Braille
GUIA DE ASSINATURA - 20 UN GRÁTIS;TECASSISTIVA Tecnol. Assis.;0;Escrita Braille
REGLETE DE BOLSO;TECASSISTIVA Tecnol. Assis.;132,25;Escrita Braille
REGLETE DE MESA;TECASSISTIVA Tecnol. Assis.;184;Escrita Braille
TECLADO AMPLIADO TECASSISTIVA P/A/P;TECASSISTIVA Tecnol. Assis.;396,75;Teclado
TECLADO AMPLIADO TECASSISTIVA P/A/P BRAILLE;TECASSISTIVA Tecnol. Assis.;402,5;Teclado
TECLADO AMPLIADO TECASSISTIVA P/A/P com COLMÉIA;TECASSISTIVA Tecnol. Assis.;440,45;Teclado
TRACKBALL (MOUSE) COM ENTRADA PARA ACIONADOR BIGTRACK;ABLENET, INC.;1345,5;Mouse com Esfera
